C;;3;15;27;39;51;63;75;87
C#;;4;16;28;40;52;64;76;
D;;5;17;29;41;53;65;77;
D#;;6;18;30;42;54;66;78;
E;;7;19;31;43;55;67;79;
F;;8;20;32;44;56;68;80;
F#;;9;21;33;45;57;69;81;
G;;10;22;34;46;58;70;82;
G#;;11;23;35;47;59;71;83;
A;0;12;24;36;48;60;72;84;
A#;1;13;25;37;49;61;73;85;
B;2;14;26;38;50;62;74;86;
Octava;0;1;2;3;4;5;6;7;8
;;;;;;;;;
Redonda;4;;;;;;;;
Blanca;2;;;;;;;;
Negra;1;;;;;;;;
Corchea;0,5;;;;;;;;
Semicorchea;0,25;;;;;;;;
Fusa;0,125;;;;;;;;
Semifusa;0,0625;;;;;;;;
Garrapatea;0,03125;;;;;;;;
